方名,规范名,经典,出处,功用大类,功用小类,处方,炮制,功用,主治,方解,禁忌,化裁,附方,附注,文献,运用,用法用量,备注,ID
艾煎丸,,,《魏氏家藏方》卷十,,,吴茱萸（汤泡7次，炒）1两，当归（去芦，酒浸，微炒）1两，干姜（炮，洗）1两，厚朴（去粗皮，姜制，炙）1两，陈橘皮（去白）1两，茴香（淘去沙，炒）1两，牡蛎（煅）1两，官桂（去粗皮）1两，禹余粮石（煅，米醋淬7次，别研）4两，艾叶（米泔水浸，炒）4两，香附子2两（去毛，炒）。,上为细末，醋面糊为丸，如梧桐子大。,,妇人虚羸，子宫久冷。,,,,,,,,,,https://db.yaozh.com/fangji/10001168.html
艾煎丸,,,《百一》卷十八,,,伏道艾（揉去尘土，择净枝梗，取叶）5两（先用大肥淮枣12两，砂瓶内水煮烂，去核，同艾叶1处捣烂如泥，捻成薄饼子，猛火焙干，乘热急碾为末），大汉椒（去目、枝梗并合口者，取净）5两（以阿胶2两，米醋3升，同椒于砂瓶内煮极干，取出焙燥，碾为细末），当归（去芦及须，酒洗）1两，白芍药（真白者）1两，熟干地黄（净洗，漉去浮者，晒干，酒浸蒸晒，再入酒浸蒸5-7次，如糖，煎香美方可用）1两，川芎1两，白薇1两，附子（大者，炮，去皮脐）1两，卷柏（取青叶）1两，泽兰（去枝梗，取叶，上8味各焙干）1两。,上8味同为细末，与前艾叶、椒末拌匀，米醋面糊为丸，如梧桐子大。,,妇人一切虚寒，胎前产后赤白带下，或成血瘕。,,,,,,,,,,https://db.yaozh.com/fangji/10001169.html
艾煎丸,艾附丸,,《普济方》卷三二三引《兰室秘藏》,,,北艾叶2两，大当归2两，香附子4两。,上醋煮半日，焙干为末，再用醋煮糊为丸。,,妇人血虚气滞，月经不调，血气刺痛，腹胁胀满，头晕恶心，经闭、痛经，崩漏带下，便血症瘕；妇人诸虚。,,,,,,,,,,https://db.yaozh.com/fangji/10001170.html
艾煎丸,,,《银海精微》卷上,,,好艾叶（醋蒸，焙干）、薄荷、当归、地骨皮、晚蚕沙、糯米、秦艽、黄柏、桔梗、绵黄耆。,上为末，炼蜜为丸。,,,,,,,,,,,,https://db.yaozh.com/fangji/10001171.html
艾煎圆,,,《宋?太平惠民和剂局方》,,,人参、川芎、菖蒲（节.蜜炒），各一两；熟艾（糯米饮调作饼.焙干）四两，食茱萸（汤洗）、当归，各七钱半；白芍药、熟干地黄，各一两半。,,,治崩伤淋沥，小肠满痛。常服补荣卫，固经脉。,,,,,,,,,,https://db.yaozh.com/fangji/10001172.html
艾姜汤,,,《直指》卷二十六,,,艾叶1握，黑豆100粒。,,,大便下脓血。,,,,,,,,,,https://db.yaozh.com/fangji/10001173.html
艾姜丸,,,《直指》卷十四,,,干艾叶4两（炒焦存性），川白姜1分（炮）。,上为末，醋煮面糊为丸，如梧桐子大。,,湿冷下痢脓血，腹痛；妇人下血；白痢。,,,,,,,,,,https://db.yaozh.com/fangji/10001174.html
艾胶散,,,《普济方》卷一八八,,,干姜3两，艾叶2升，胶如手掌大。,,,卒吐血。,,,,,,,,,,https://db.yaozh.com/fangji/10001175.html
艾胶汤,,,《圣济总录》卷一五四,,,熟艾（炒）1两，阿胶（炙燥）1两，葱1两。,上(口父)咀，分作3服。,,胎动不安。,,,,,,,,,,https://db.yaozh.com/fangji/10001176.html
艾胶汤,,,《验方新编》卷九,,,阿胶（炒）1钱，熟地1钱，艾叶2钱，川芎8分，大枣3枚。,,,妇人逐日经来，几点则止，或5日，或10日又来数点，1月常3-4次，面色青黄。,,,,,,,,,,https://db.yaozh.com/fangji/10001177.html
艾硫丸,,,《杨氏家藏方》卷九,,,熟艾10两（用糯米1升煎成粥，浇在艾上，用手拌令匀，于日中晒干），附子（炮，去皮脐）2两，生硫黄（别研极细）2两，干姜10两（炮）。,上为细末，面糊为丸，如梧桐子大。,,去邪养正，补真益脾。主髓冷血虚，腰疼脚弱，及伤冷心腹疼痛，霍乱吐利，自汗气急，下元久虚，小便频数；妇人冲任不足，月水衍期，腹胁刺痛，崩漏带下，全不思饮食；兼治伤寒阴证，手足厥冷，脉微自汗。,,,,,,,,,,https://db.yaozh.com/fangji/10001178.html
艾麦丸,,,《魏氏家藏方》卷七,,,艾叶,上为细末，米醋打糯米粉糊为丸，如梧桐子大。,,虚羸，久不进食，脏腑不固，小便常多。,,,,,,,,,,https://db.yaozh.com/fangji/10001179.html
艾梅饮,,,《内经拾遗》卷一,,,蕲艾4钱，乌梅1个（上钻1孔）。,,,大便下血。,,,,,,,,,,https://db.yaozh.com/fangji/10001180.html
艾曲散,,,《鸡峰》卷十九,,,艾曲1升（生），干姜1两，细辛1两，椒目1两，附子1两，桂1两。,上为细末。,,利小便，消肿。主痢后或产后虚肿，水肿。,,,,,,,,,,https://db.yaozh.com/fangji/10001181.html
艾茸敷法,艾叶回阳散,,《金鉴》卷六十二,,,硫黄5钱，雄黄5钱，艾茸1斤。,,,阴疮黑陷而不痛者。,,,,,,,,,,https://db.yaozh.com/fangji/10001182.html
艾茸丸,,,《圣济总录》卷五十二,,,木瓜20枚（去皮核，作瓮子），甘菊花（为末）1斤，青盐（研）1斤。,将甘菊花并青盐填满木瓜瓮子内，置笼床内蒸，以木瓜烂为度，研成膏，再入新艾茸2斤，搜和为丸，如梧桐子大，晒干。,,肾脏虚冷，气攻腹胁，胀满疼痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001183.html
艾茸丸,,,《魏氏家藏方》卷十,,,白艾叶（细锉末，醋半盏同煮，醋尽为度）半两，当归（去芦，酒浸）半两，赤芍药半两，吴茱萸（汤泡7次，炒）半两，肉桂（去粗皮，不见火）半两，天雄（炮，去皮脐，锉，再炒）半两，没药（别研）半两，荜茇半两，木香（不见火）半两，沉香1分（不见火）。,上为细末，醋面糊为丸，如梧桐子大。,,妇人下脏久虚，沉寒痼疾。,,,,,,,,,,https://db.yaozh.com/fangji/10001184.html
艾汤,,,《外台秘要》卷三引阮河南方,,,苦酒（即米醋）300毫升 葶苈（熬，杵膏）9克 生艾汁（无生艾，以熟艾，或用艾根捣取汁）100毫升,,,伤寒七八日，内热不解，发狂烦躁，面赤嚼痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001185.html
艾汤,,,《外台》卷四引《深师方》,,,苦酒3升，葶苈子2合（熬，捣），,上切。,,酒疸，身目俱黄，心中懊痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001186.html
艾烟丸,,,《圣济总录》卷一O四,,,黄连（去须）1两半，杏仁（汤浸，去皮尖双仁，炒，研）14粒，胆矾（研）半豆许，铅丹（研）半两，腻粉1分。,上药再同研匀，入粟米粥和，以艾烟熏之，为丸如鸡头子大。,,赤目。,,,,,,,,,,https://db.yaozh.com/fangji/10001187.html
艾叶敷方,,,方出《圣惠》卷五十六，名见《圣济总录》卷一OO,,,艾叶,,,"中恶，遁尸，心腹及身体痛甚不知痛处，手摸按之,即知痛处，短气不语。",,,,,,,,,,https://db.yaozh.com/fangji/10001188.html
艾叶鸡蛋汤,,,《民间方》,,,艾叶50克 鸡蛋2个 白糖适量,将艾叶加水适量煮汤，打入鸡蛋煮熟，放白糖溶化即成。,,温肾安胎。适用于习惯性流产。,,,,,,,,,,https://db.yaozh.com/fangji/10001189.html
艾叶煎丸,,,《圣济总录》卷九十页首,,,艾叶（炒）4两，当归（切，焙）1两，干姜（炮）1两。,右为末，用米醋3升，入药末一半，熬成煎，后入余药末相和为丸，如梧桐子大。,,冷劳，心腹疼痛，或时泄痢；兼治妇人下经冷，带下。,,,,,,,,,,https://db.yaozh.com/fangji/10001190.html
艾叶煎丸,,,《圣惠》卷二十八,,,艾叶4两（微炒），白头翁1两。,上为末，用米醋3升，先熬药末一半成膏，后入余药末相和为丸，如梧桐子大。,,冷劳，脐腹疼痛，或时泄痢；兼治妇人劳后带下。,,,,,,,,,,https://db.yaozh.com/fangji/10001191.html
艾叶散,,,《圣惠》卷五十九,,,艾叶1两（微炒），白石脂2两，白术3分，龙骨1两，当归1两（锉，微炒），干姜3分（炮裂，锉），附子1两（炮裂，去皮脐），吴茱萸1两（汤浸7遍，焙干，微炒），阿胶3分（捣碎，炒令黄燥），厚朴1两半（去粗皮，涂生姜汁炙令香熟）。,上为细散。,,久冷痢，食不消化，四肢不和，心腹多痛，少思饮食。,,,,,,,,,,https://db.yaozh.com/fangji/10001192.html
艾叶散,,,方出《千金》卷十二，名见《圣惠》卷三十七,,,干姜2两，阿胶2两，柏叶2两，艾1把。,,,吐血内崩上气，面色如土。,,,,,,,,,,https://db.yaozh.com/fangji/10001193.html
艾叶散,艾香散,,《圣惠》卷九十三,,,艾叶半两（微炒），黄连半两（去须，微炒），木香半两，当归3分（锉，微炒），诃黎勒3分（煨，用皮），干姜1分（炮裂，锉），龙骨3分。,上为细散。,,小儿冷痢，多时不断。,,,,,,,,,,https://db.yaozh.com/fangji/10001194.html
艾叶散,,,《圣惠》卷七十七,,,艾叶3分（微炒），地榆1两（锉），干姜3分（炮裂，锉），当归1两（微炒），赤石脂3分。,上为细散。,,堕胎后，恶物下，四体虚，困闷不能自胜。,,,,,,,,,,https://db.yaozh.com/fangji/10001195.html
艾叶散,,,《圣惠》卷七十九,,,艾叶1两（微炒），黄柏3分（涂蜜微炙，锉），赤芍药3分，黄连3分（去须，微炒），地榆3分（挫），甘草半两（炙微赤，锉），干姜半两（炮裂，锉），阿胶3分（捣碎，炒令黄燥）。,上为细散。,,产后脓血痢久不愈，肠胃疼痛，不思饮食，渐加羸瘦。,,,,,,,,,,https://db.yaozh.com/fangji/10001196.html
艾叶散,,,《圣惠》卷七十二,,,艾叶（微炒）2两，阿魏（捣碎，炒令黄燥）2两，干姜（炮裂，锉）2两，当归（锉，微炒）2两，龙骨2两，黄耆（锉）2两，熟干地黄2两，甘草半两（炙微赤，锉）。,上为粗散。,,妇人月水不断，吃食减少，四肢黄瘦。,,,,,,,,,,https://db.yaozh.com/fangji/10001197.html
艾叶散,,,《圣惠》卷八十,,,艾叶2分（微炒），当归3分（锉，微炒），白芍续断1两，牛膝半两（去苗），桑耳半两，败酱3分。,上为细散。,,产后恶露不绝，脐腹时痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001198.html
艾叶散,,,《杏苑》卷八,,,艾叶、五倍子、白胶香、苦楝根各等分。,上为细末，作香炷。,,漏疮。,,,,,,,,,,https://db.yaozh.com/fangji/10001199.html
艾叶散,,,《圣惠》卷六十,,,白龙骨1两，艾叶半两（炒令微黄），黄耆1两半（锉），地榆1两（锉），枳实1两（麸炒微黄），白芍药1两，熟干地黄1两。,上为粗散。,,五痔下血不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001200.html
艾叶散,,,《圣惠》卷六十七,,,艾叶3分（炒），白芍药3分，熟干地黄1两，干姜半两（炮裂，锉），阿胶1两（捣碎，炒令黄燥），甘草1分（炙微赤，锉）。,上为粗散。,,从高坠下，伤于五脏，微者唾血，甚者吐血；及金疮伤经，血出不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001201.html
艾叶生姜煨鸡蛋,,,《民间方》,,,艾叶15克 生姜25克 鸡蛋2个,将上3味加水适量同煮；待鸡蛋熟，剥去壳，复入原汤中煨片刻。,,温经，止血，安胎，散寒。适用于崩漏及胎动不安、习惯性流产。,,,,,,,,,,https://db.yaozh.com/fangji/10001202.html
艾叶汤,,,《圣济总录》卷一五四,,,艾叶（炒）半两，黄芩（去黑心）半两，黄连（去须）1两，茯神（去木）1两，桑耳1两，代赭1两，厚朴（去粗皮，生姜汁炙，锉）1两，白茅根（切）1两，白芷1两，阿胶（炒燥）1两，白术3分。,上为粗末。,,妊娠胎漏下血。,,,,,,,,,,https://db.yaozh.com/fangji/10001203.html
艾叶汤,,,方出《千金》卷二，名见《产孕集》卷上,,,艾叶3两，阿胶当归3两，甘草1两。,,,妊娠2-3月至8-9月，胎动不安，腰痛，已有所下。,,,,,,,,,,https://db.yaozh.com/fangji/10001204.html
艾叶汤,,,方出《圣惠》卷四十七，名见《普济方》卷二O一,,,艾叶1两，诃黎勒1两（煨，用皮）。,,,霍乱后，洞下不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001205.html
艾叶汤,,,方出《证类本草》卷九引《子母秘录》，名见《圣济总录》卷一五九,,,艾叶半斤。,,,倒产及子死腹中。,,,,,,,,,,https://db.yaozh.com/fangji/10001206.html
艾叶汤,,,《千金》卷二,,,艾叶2两，丹参2两，当归2两，麻黄2两，人参3两，阿胶3两，甘草1两，生姜6两，大枣12枚。,,,妊娠2月，中风寒，有所动摇，心满，脐下悬急，腰背强痛，卒有所下，乍寒乍热。,,,,,,,,,,https://db.yaozh.com/fangji/10001207.html
艾叶汤,,,《圣济总录》卷一五五,,,生艾叶（捣，绞取汁）1盏，阿胶（炙令燥）半两，蜜1合。,,,妊娠卒下血不止，胎上逼心，手足逆冷欲死。,,,,,,,,,,https://db.yaozh.com/fangji/10001208.html
艾叶汤,,,《圣济总录》卷一五六,,,艾叶（去梗，炙）1分，白芷1两，阿胶（炙令燥）1两，白术（锉，炒）1两，厚朴（去粗皮，生姜汁炙）1两，黄连（去须）1两，茯神（去木）1两半，地榆皮1两半，赤石脂（研）1两半，黄芩（去黑心）半两，肉豆蔻（去壳）1枚。,上为粗末。,,妊娠下痢。,,,,,,,,,,https://db.yaozh.com/fangji/10001209.html
艾叶汤,,,《圣济总录》卷一五八,,,艾叶（捣成末）1两，阿胶（炙令燥）半两。,上为粗末。,,妊娠堕胎后，血出不止，腹痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001210.html
艾叶汤,,,《普济方》卷二三一,,,伏道艾叶、生姜各等分，杏仁（生，去皮尖）、松节明子木。,,,男女虚劳咳嗽，痰涎不止。,,,,,,,,,,https://db.yaozh.com/fangji/10001211.html
艾叶汤,,,《疡医大全》卷二十四,,,艾叶、苎麻叶、槐叶、柳叶、白及、防风、白芷、升麻各等分。,,,阴(匿虫)。,,,,,,,,,,https://db.yaozh.com/fangji/10001212.html
艾叶汤,,,《圣惠》卷十,,,艾叶半两（细锉，炒微黄），生干地黄半两，阿胶1分（杵碎，炒令黄燥，为末）。,上药和匀，分为2服。,,伤寒衄血及吐血，连日不绝，欲死。,,,,,,,,,,https://db.yaozh.com/fangji/10001213.html
艾叶汤,,,《圣济总录》卷一四五,,,艾叶（炒）半两，白芍药3分，熟干地黄（焙）1两，干姜（炮）半两，阿胶（炙令燥）1两，甘草（炙）1分。,上为粗末。,,坠堕颠扑，内伤脏气，吐唾出血。,,,,,,,,,,https://db.yaozh.com/fangji/10001214.html
艾叶汤,,,方出《外台》卷三十四引《经心录》，名见《医统》卷八十三引《录验》,,,防风3两，大戟2两，艾5两。,上切。,,妇人阴中肿痛不可近者。,,,,,,,,,,https://db.yaozh.com/fangji/10001215.html
艾叶丸,伏龙肝丸,,《圣惠》卷八十,,,艾叶1两（微炒），熟干地黄2两，代赭石1两半（细研），干姜1两（炮裂，锉），芎藭1两，阿胶1两（捣碎，炒令黄燥），牛角（角思）2两（烧），牡蛎1两（烧为粉）。,上为末，炼蜜为丸，如梧桐子大。,,产后恶露不绝，腹 (疒丂)痛，气息乏力。,,,,,,,,,,https://db.yaozh.com/fangji/10001216.html
艾叶丸,,,《圣济总录》卷一五七,,,艾叶（炙）1两，干姜（生）1两，厚朴（去粗皮，生姜汁炙）半两，益智（去皮）半两。,上为末，炼蜜为丸，如梧桐子大。,,妊娠小便利，少腹急痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001217.html
艾叶丸,,,《鸡峰》卷十,,,艾叶4分，赤小豆4分，当归4分，阿胶4分。,上为细末，水煮面糊为丸，如梧桐子大。,,失血。,,,,,,,,,,https://db.yaozh.com/fangji/10001218.html
艾叶丸,,,《圣济总录》,,,艾叶（炒）3分，黄连（去须，炒）3分，木香（一半生，一半炒）3分，肉豆蔻（去壳）3分，地榆（锉）1两，阿胶（炙燥）半两，当归（切，焙）半两。,上为末，炼蜜为丸，如梧桐子大。,,赤白痢，血多，痛不可忍。,,,,,,,,,,https://db.yaozh.com/fangji/10001219.html
艾叶丸,伏龙肝丸,,《圣惠》卷五十九,,,艾叶1两（微炒），黄连1两（去须，微炒），木香1两，地榆1两（锉），伏龙肝1两，阿胶1两（捣碎，炒令黄燥），当归1两（锉，微炒），赤芍药1两，黄芩1两。,上为末，炼蜜为丸，如梧桐子大。,,赤痢，腹痛不可忍。,,,,,,,,,,https://db.yaozh.com/fangji/10001220.html
艾叶洗剂,,,《中医皮肤病学简编》,,,艾叶62g，雄黄6g，防风62g，花椒6g。,,,慢性湿疹、过敏性皮炎、泛发性神经皮炎。,,,,,,,,,,https://db.yaozh.com/fangji/10001221.html
艾叶饮,,,《圣济总录》卷一五七,,,艾叶、当归（切，焙）、人参、生干地黄（焙）、地榆、干姜（炮）、阿胶（炙令燥）各等分。,上为粗末。,,半产后，恶露不断，心闷气短。,,,,,,,,,,https://db.yaozh.com/fangji/10001222.html
艾叶饮,,,《圣济总录》卷七十六页首,,,艾叶（焙）1两半，当归（切，焙）1两半，黄连（去须）1两半，龙骨1两半，诃黎勒皮1两半。,上为粗末。,,,,,,,,,,,,https://db.yaozh.com/fangji/10001223.html
艾叶粥,,,《民间方》,,,干艾叶15克（鲜者30克）南粳米50克红糖适量,艾叶煎取浓汁去渣，与粳米、红糖加水煮为稠粥。,,温经止血，散寒止痛。适用于妇女虚寒性痛经、月经不调小腹冷痛等。,,,,,,,,,,https://db.yaozh.com/fangji/10001224.html
艾汁方,,,方出《证类本草》卷九引葛氏方，名见《圣济总录》卷九十九,,,生艾（捣，取汁）。,,,下蛔。主蛔虫，或心如刺，口吐清水。,,,,,,,,,,https://db.yaozh.com/fangji/10001225.html
艾汁涂方,,,《圣济总录》卷一三七,,,艾1两（锉细）。,,,一切癣。,,,,,,,,,,https://db.yaozh.com/fangji/10001226.html
艾茱丸,,,《普济方》卷三三一,,,艾叶1斤，苍术4两，香附子4两，吴茱萸4两，橘皮4两。,上用米醋5升，慢火煮至醋干为度，晒干为细末，醋糊为丸，如梧桐子大。,,妇人子宫久冷，赤白带下。,,,,,,,,,,https://db.yaozh.com/fangji/10001227.html
安斑散,,,《幼幼新书》卷十八引张涣方,,,川升麻1两，赤茯苓1两，羌活1两，绵黄耆（锉）1两（去芦须），人参半两，枳壳（麸炒，去瓤）半两，桔梗半两，甘草（炙）半两。,上为末。,,凉血解毒，生肌宽肠，导热利小便，快膈。主疮疹。,,,,,,,,,,https://db.yaozh.com/fangji/10001228.html
安斑汤,,,《医学正传》卷八引汤氏方,,,紫草5分，木通5分，蝉蜕3分，防风3分，甘草2分。,上细切。,,疮出不快。,,,,,,,,,,https://db.yaozh.com/fangji/10001229.html
安崩汤,,,《医学集成》卷三,,,人参2钱，黄耆1两，白术1两，三七3钱。,,,五崩。,,,,,,,,,,https://db.yaozh.com/fangji/10001230.html
安嘈汤,,,《医钞类编》卷十,,,栀仁、川连（炒）、苍术、陈皮、法半夏、香附、甘草。,,,痰因火动，嘈杂不宁。,,,,,,,,,,https://db.yaozh.com/fangji/10001231.html
安冲汤,,,《医学衷中参西录》上册,,,白术18克（炒）生黄耆18克 生龙骨18克（捣细）生牡蛎18克（捣细）大生地18克 生杭芍9克 海螵蛸12克（捣细）茜草9克 川续断12克,,,补气养血，固涩安冲。妇女月经过多，过期不止，或不时漏下。,,,,,,,,,,https://db.yaozh.com/fangji/10001232.html
安冲调经汤,,,《刘奉五妇科经验》,,,山药15克，白术9克，炙甘草6克，石莲肉9克，川断9克，熟地12克，椿根白皮9克，生牡蛎30克，乌贼骨12克。,,,平补脾肾，调经固冲。主肾气不固。,,,,,,,,,,https://db.yaozh.com/fangji/10001233.html
安虫散,,,《小儿药证直诀》卷下,,,胡粉（炒黄）槟榔 川楝子（去皮、核）鹤虱（炒）各60克 白矾（铁器熬）7.5克 干漆（炒烟尽）15克 雄黄7.5克 巴豆霜7.5克,,,驱虫止痛。小儿虫积成团，腹中疼痛，肚腹胀满，大便秘结。（打虫）,,,,,,,,,,https://db.yaozh.com/fangji/10001234.html
安虫散,,,《田氏保婴集》,,,胡粉2钱（炒黄），鹤虱2钱（炒黄），川楝子2钱（去皮核），槟榔2钱，白矾（枯）2钱半。,上为细末。,,小儿虫痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001235.html
安虫散,鹤虱散,,《扁鹊心书?神方》,,,干漆（炒至烟尽）5钱，鹤虱（炒，净）1两，雷丸（切，炒）1两。,上为末。,,虫攻心痛，吐清水，如蛲虫发则腹胀，寸白虫则心痛。,,脾胃虚弱者慎用，体虚者忌服。,,,,,,,,https://db.yaozh.com/fangji/10001236.html
安虫丸,,,《小儿药证直诀》卷下,,,干漆0.9克（杵碎，炒烟尽）雄黄 巴豆霜各3克,上为细末，面糊为丸，如黍米大。,,小儿虫痛。（打虫）,,,,,,,,,,https://db.yaozh.com/fangji/10001237.html
安虫丸,,,《幼科发挥》卷下,,,莪术（醋煨）木香 黄连 青皮 槟榔 使君子 白芜荑仁 白雷丸 苦楝根皮（白者可用，赤者有毒）各等分,,,小儿腹痛有虫。（打虫）,,,,,,,,,,https://db.yaozh.com/fangji/10001238.html
安虫丸,,,《幼科发挥》卷三,,,莪术（醋煨）、木香、黄连、青皮、槟榔、使君子、白芜荑仁、白雷丸、苦楝根皮（白者可用，赤者有毒）各等分。,,,,,,,,,,,,,https://db.yaozh.com/fangji/10001239.html
安虫丸,,,《育婴秘诀》卷四,,,木香、鸡心槟榔、使君子肉、白芜荑仁、绿色贯众、苦楝根白皮、虾蟆（烧存性）、夜明砂。,上为末，粳米为丸，如黍米大。,,诸虫。,,,,,,,,,,https://db.yaozh.com/fangji/10001240.html
安虫丸,,,《续名家方选》,,,黄柏5两，苦参3两，槟榔1两半，杨梅皮1两，黄连3两，黄芩1两，莪术1两。,上为细末，为丸如梧桐子大。,,大人小儿虫积腹痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001241.html
安虫饮,,,《观聚方要补》卷三引《幼科百效》,,,黄连、乌梅、炮姜、山楂、厚朴、芍药、使君子肉、枳实、陈皮、川楝子。,,,蛔虫动，口吐清涎。,,,,,,,,,,https://db.yaozh.com/fangji/10001242.html
安喘至圣丹,,,《石室秘录》卷一,,,人参量须稍大、牛膝3钱，熟地5钱，山茱萸4钱，枸杞子1钱，麦冬5钱，北五味1钱，胡桃3个，生姜5片。,,,气虚所致气喘而上者。,,,,,,,,,,https://db.yaozh.com/fangji/10001243.html
安胆汤,,,《辨证录》卷五,,,柴胡2钱，天花粉2钱，炒栀子2钱，甘草1钱，白芍3钱，丹皮3钱。,,,少阳春温，由春月伤风所致。,,,,,,,,,,https://db.yaozh.com/fangji/10001244.html
安奠二天汤,,,《傅青主女科》卷下,,,人参30克（去芦）熟地30克（九蒸）白术30克（土炒）山药15克（炒）山萸15克（蒸，去核）炙草3克 杜仲9克（炒黑）枸杞6克 扁豆15克（炒，去皮）,,,妊娠小腹作疼，胎动不安，如有下堕之状。,,,,,,,,,,https://db.yaozh.com/fangji/10001245.html
安定汤,,,《辨证录》卷四,,,黄耆1两，白术5钱，当归5钱，生枣仁5钱，远志3钱，茯神5钱，甘草1钱，熟地1两，半夏2钱，麦冬5钱，柏子仁3钱，玄参3钱。,,,生血，补心肝。主心虚惊悸。,,,,,,,,,,https://db.yaozh.com/fangji/10001246.html
安东散,,,《卫生鸿宝》卷一,,,苏罗子4两（炒），瓦楞子（醋炙）4两，陈香橼2只（炒），陈木瓜2只（炒），生蛤壳2斤（生杵）。,上为细末。,,肝胃气。,,,,,,,,,,https://db.yaozh.com/fangji/10001247.html
安痘汤,,,《辨证录》卷十四,,,玄参5钱，当归3钱，连翘1钱，白芍2钱，丹皮2钱，荆芥2钱，甘菊花2钱，升麻5分，天花粉1钱。,,,散风热。主痘症发全，痘毒全无，收痂大愈之后，放心纵欲，饮食过伤，又兼风热，而致数日之后身复发热，通身发出红斑，痒甚，愈抓愈痒，先出大小不一如粟米之状，渐渐长大如红云片。,,,,,,,,,,https://db.yaozh.com/fangji/10001248.html
安儿至宝汤,,,《辨证录》卷十四,,,人参5钱，白术5钱，茯苓3钱，巴戟天3钱，附子1钱，麦芽1钱，枳壳3分，槟榔3钱，车前子2钱，白豆蔻3钱，扁豆2钱，萝卜子1钱。,,,小儿脾胃虚寒，上吐下泻，眼目上视，死亡顷刻．其状宛似慢惊风。,,,,,,,,,,https://db.yaozh.com/fangji/10001249.html
安肺桔梗汤,,,《类证治裁》卷二,,,杏、蒌、枳、桔、归、耆、二母、桑皮、防己、百合、苡仁、地骨、葶苈、五味、草。,,,利气疏痰，降火排脓。主肺痈。,,,,,,,,,,https://db.yaozh.com/fangji/10001250.html
安肺宁嗽丸,,,《医学衷中参西录》上册,,,嫩桑叶30克 儿茶30克 硼砂30克 苏子30克（炒，捣）粉甘草30克,上为细末，炼蜜为丸，每丸重9克。,,肺郁痰火或阴虚肺热所致之咳嗽，兼治肺结核。,,,,,,,,,,https://db.yaozh.com/fangji/10001251.html
安肺散,,,《普济方》卷一六三页首安肺散 《辨证录》卷九,,,款冬花1两，五味子1两，乌梅肉1两（焙微黄），紫菀茸1两，甘草（炒）半两，御米壳（去蒂，蜜炒）4两。,,,,,,,,,,,,,https://db.yaozh.com/fangji/10001252.html
安肺散,,,《卫生宝鉴》卷十二,,,麻黄（不去节）2两，甘草（炒）1两，御米壳4两（去顶，炒黄）。,上为末。,,咳嗽无问新久。,,,,,,,,,,https://db.yaozh.com/fangji/10001253.html
安肺散,,,《辨证录》卷九,,,麦冬5钱，桔梗2钱，生地3钱，白芍3钱，茯苓3钱，紫苏2钱，款冬花1钱，天门冬3钱，紫菀1钱，黄芩3钱，熟地3钱，山茱萸2钱，玄参5钱，贝母5分。,上为细末。,,补肺气，滋肾水。主人有日坐于围炉烈火之边，肺金受火之伤，以致汗出不止，久则元气大虚，口渴引饮，发热者。,,,,,,,,,,https://db.yaozh.com/fangji/10001254.html
安肺汤,,,《类证治裁》卷二页首,,,参1钱，苓1钱，术1钱，草1钱，归1钱，芍1钱，芎1钱，麦1钱，五味1钱，桑皮1钱，阿胶1钱半，生姜3片。,,,保肺。主肺喘。,,,,,,,,,,https://db.yaozh.com/fangji/10001255.html
,,,,,,,,,,,,,,,,,,,https://db.yaozh.com/fangji/10001256.html
安宫散,,,《永类钤方》卷十八引郑氏方,,,附子（炮）2钱，阿胶（炒）2钱，五味子2钱，黄耆（炙）2钱，山药2钱，当归2钱，熟地黄2钱，赤芍2钱，木香2钱，甘草（炙）2钱，生姜半两（炒黑），糯米1勺（炒焦）。,上锉散。,,安胎。主半产，妊娠血气虚弱，不能卫养，数月而堕。,,,,,,,,,,https://db.yaozh.com/fangji/10001257.html
安宫散,,,《魏氏家藏方》卷十,,,安息香2钱半，没药2钱半（并别研），甘草（炙）1两，当归（去芦，酒浸）1两，香附子（去毛）1两，乌梅肉2钱半，白芍药1两，乳香2钱（别研）。,上为细末。,,活血定痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001258.html
安和散,,,《袖珍小儿》卷六,,,木香、当归、川芎、前胡（去芦）、柴胡（去芦）、青皮（炒）、桔梗（炒）、甘草（炙）、赤茯苓各等分。,上锉散。,,冷热不调泻。,,,,,,,,,,https://db.yaozh.com/fangji/10001259.html
安和散,,,《女科指南》,,,苍术、厚朴、陈皮、川芎、红花、半夏、香附。,,,邪正交争，气血不顺，一切腹痛。,,,,,,,,,,https://db.yaozh.com/fangji/10001260.html
安和饮子,,,《普济方》卷二一一,,,罂栗壳2钱半，木香2钱半，甘草2分，地榆2钱。,上为末。,,赤白痢。,,,,,,,,,,https://db.yaozh.com/fangji/10001261.html
